date,demand
17-02-07,672.18
18-02-07,601.56
19-02-07,759.57
20-02-07,790.78
21-02-07,788.44
22-02-07,786.05
23-02-07,770.13
24-02-07,672.19
25-02-07,608.38
26-02-07,740.53
27-02-07,761.53
28-02-07,737.94
01-03-07,737.94
02-03-07,734.53
03-03-07,647.06
04-03-07,580.01
05-03-07,718.65
06-03-07,758.10
07-03-07,754.63
08-03-07,745.12
09-03-07,757.25
10-03-07,663.88
11-03-07,591.03
12-03-07,734.58
13-03-07,751.92
14-03-07,750.86
15-03-07,740.26
16-03-07,745.36
17-03-07,657.04
18-03-07,580.63
19-03-07,699.40
20-03-07,782.16
21-03-07,803.30
22-03-07,801.50
23-03-07,785.45
24-03-07,685.12
25-03-07,591.04
26-03-07,769.93
27-03-07,788.79
28-03-07,792.96
29-03-07,786.52
30-03-07,771.33
31-03-07,676.68
01-04-07,616.03
02-04-07,754.86
03-04-07,761.51
04-04-07,750.00
05-04-07,669.22
06-04-07,604.53
07-04-07,613.81
08-04-07,568.92
09-04-07,652.06
10-04-07,731.25
11-04-07,740.45
12-04-07,747.53
13-04-07,738.67
14-04-07,646.05
15-04-07,570.43
16-04-07,676.56
17-04-07,713.85
18-04-07,715.07
19-04-07,711.92
20-04-07,704.53
21-04-07,613.20
22-04-07,548.45
23-04-07,663.35
24-04-07,707.14
25-04-07,710.79
26-04-07,711.64
27-04-07,705.29
28-04-07,608.84
29-04-07,542.26
30-04-07,614.20
01-05-07,530.67
02-05-07,667.48
03-05-07,705.93
04-05-07,701.87
05-05-07,608.17
06-05-07,544.22
07-05-07,686.24
08-05-07,709.92
09-05-07,715.53
10-05-07,720.85
11-05-07,720.48
12-05-07,624.41
13-05-07,552.27
14-05-07,680.31
15-05-07,692.31
16-05-07,719.01
17-05-07,714.25
18-05-07,737.26
19-05-07,637.89
20-05-07,556.70
21-05-07,702.88
22-05-07,718.00
23-05-07,722.23
24-05-07,720.36
25-05-07,716.96
26-05-07,616.62
27-05-07,537.92
28-05-07,683.82
29-05-07,711.86
30-05-07,719.72
31-05-07,718.40
01-06-07,713.19
02-06-07,618.06
03-06-07,553.53
04-06-07,697.81
05-06-07,722.63
06-06-07,730.54
07-06-07,733.64
08-06-07,745.16
09-06-07,641.36
10-06-07,561.40
11-06-07,719.66
12-06-07,748.16
13-06-07,746.42
14-06-07,734.95
15-06-07,720.89
16-06-07,636.11
17-06-07,562.50
18-06-07,722.22
19-06-07,744.32
20-06-07,732.55
21-06-07,741.36
22-06-07,740.73
23-06-07,642.87
24-06-07,572.78
25-06-07,736.31
26-06-07,735.04
27-06-07,745.55
28-06-07,757.71
29-06-07,756.41
30-06-07,661.02
01-07-07,585.61
02-07-07,723.83
03-07-07,771.86
04-07-07,782.52
05-07-07,764.53
06-07-07,766.54
07-07-07,668.36
08-07-07,597.71
09-07-07,757.94
10-07-07,758.26
11-07-07,768.83
12-07-07,780.60
13-07-07,787.86
14-07-07,682.48
15-07-07,599.57
16-07-07,756.70
17-07-07,785.30
18-07-07,791.16
19-07-07,783.25
20-07-07,764.78
21-07-07,651.67
22-07-07,572.50
23-07-07,731.02
24-07-07,766.43
25-07-07,769.79
26-07-07,789.95
27-07-07,790.66
28-07-07,686.65
29-07-07,613.07
30-07-07,773.05
31-07-07,792.08
01-08-07,788.23
02-08-07,772.08
03-08-07,761.28
04-08-07,677.44
05-08-07,605.25
06-08-07,704.42
07-08-07,699.72
08-08-07,681.10
09-08-07,688.47
10-08-07,690.01
11-08-07,624.59
12-08-07,559.21
13-08-07,650.56
14-08-07,664.64
15-08-07,589.58
16-08-07,661.82
17-08-07,653.53
18-08-07,613.41
19-08-07,560.39
20-08-07,662.49
21-08-07,683.01
22-08-07,661.56
23-08-07,654.01
24-08-07,652.55
25-08-07,602.45
26-08-07,557.88
27-08-07,715.07
28-08-07,758.27
29-08-07,752.90
30-08-07,734.99
31-08-07,716.48
01-09-07,629.75
02-09-07,573.11
03-09-07,733.83
04-09-07,758.50
05-09-07,750.64
06-09-07,758.68
07-09-07,757.59
08-09-07,642.02
09-09-07,576.81
10-09-07,704.24
11-09-07,704.12
12-09-07,732.27
13-09-07,747.67
14-09-07,733.20
15-09-07,625.37
16-09-07,559.36
17-09-07,720.13
18-09-07,731.45
19-09-07,721.99
20-09-07,724.34
21-09-07,721.49
22-09-07,621.74
23-09-07,550.23
24-09-07,700.52
25-09-07,731.43
26-09-07,720.54
27-09-07,711.29
28-09-07,710.83
29-09-07,621.50
30-09-07,552.24
01-10-07,707.61
02-10-07,734.95
03-10-07,740.08
04-10-07,734.10
05-10-07,719.81
06-10-07,629.54
07-10-07,564.74
08-10-07,706.87
09-10-07,709.59
10-10-07,724.50
11-10-07,707.27
12-10-07,577.18
13-10-07,581.60
14-10-07,542.56
15-10-07,694.50
16-10-07,717.17
17-10-07,723.86
18-10-07,722.53
19-10-07,709.66
20-10-07,632.86
21-10-07,559.03
22-10-07,701.65
23-10-07,730.08
24-10-07,733.91
25-10-07,734.66
26-10-07,732.48
27-10-07,642.73
28-10-07,606.15
